
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,3053,
0,um,Surface,Image 1,1,3054,
0,um,Surface,Image 1,1,3055,
0,um,Surface,Image 1,1,3056,
0,um,Surface,Image 1,1,3057,
0,um,Surface,Image 1,1,3058,
0,um,Surface,Image 1,1,3059,
0,um,Surface,Image 1,1,3060,
0,um,Surface,Image 1,1,3061,
0,um,Surface,Image 1,1,3062,
0,um,Surface,Image 1,1,3063,
0,um,Surface,Image 1,1,3064,
0,um,Surface,Image 1,1,3065,
0,um,Surface,Image 1,1,3066,
0,um,Surface,Image 1,1,3067,
0,um,Surface,Image 1,1,3068,
0,um,Surface,Image 1,1,3069,
0,um,Surface,Image 1,1,3070,
0,um,Surface,Image 1,1,3071,
0,um,Surface,Image 1,1,3072,
0,um,Surface,Image 1,1,3073,
0,um,Surface,Image 1,1,3074,
0,um,Surface,Image 1,1,3075,
0,um,Surface,Image 1,1,3076,
0,um,Surface,Image 1,1,3077,
0,um,Surface,Image 1,1,3078,
0,um,Surface,Image 1,1,3079,
0,um,Surface,Image 1,1,3080,
0,um,Surface,Image 1,1,3081,
0,um,Surface,Image 1,1,3082,
0,um,Surface,Image 1,1,3083,
0,um,Surface,Image 1,1,3084,
0,um,Surface,Image 1,1,3085,
0,um,Surface,Image 1,1,3086,
0,um,Surface,Image 1,1,3087,
0,um,Surface,Image 1,1,3088,
0,um,Surface,Image 1,1,3089,
0,um,Surface,Image 1,1,3090,
0,um,Surface,Image 1,1,3091,
0,um,Surface,Image 1,1,3092,
0,um,Surface,Image 1,1,3093,
0,um,Surface,Image 1,1,3094,
0,um,Surface,Image 1,1,3095,
0,um,Surface,Image 1,1,3096,
0,um,Surface,Image 1,1,3097,
0,um,Surface,Image 1,1,3098,
0,um,Surface,Image 1,1,3099,
0,um,Surface,Image 1,1,3100,
0,um,Surface,Image 1,1,3101,
0,um,Surface,Image 1,1,3102,
0,um,Surface,Image 1,1,3103,
0,um,Surface,Image 1,1,3104,
0,um,Surface,Image 1,1,3105,
0,um,Surface,Image 1,1,3106,
0,um,Surface,Image 1,1,3107,
0,um,Surface,Image 1,1,3108,
0,um,Surface,Image 1,1,3109,
0,um,Surface,Image 1,1,3110,
0,um,Surface,Image 1,1,3111,
0,um,Surface,Image 1,1,3112,
0,um,Surface,Image 1,1,3113,
0,um,Surface,Image 1,1,3114,
0,um,Surface,Image 1,1,3115,
0,um,Surface,Image 1,1,3116,
0,um,Surface,Image 1,1,3117,
0,um,Surface,Image 1,1,3118,
0,um,Surface,Image 1,1,3119,
